6,163,1,82
7,162,1,59
7,163,1,59
4,164,2,116
4,166,2,122
6,164,1,90
6,165,1,98
7,164,1,66
7,165,1,70
6,166,1,104
6,167,1,103
7,166,1,75
7,167,1,78
0,168,2,138
0,170,2,120
2,168,2,121
2,170,2,113
0,172,4,100
4,168,2,122
4,170,2,123
6,168,1,103
6,169,1,104
7,168,1,82
7,169,1,83
6,170,2,96
4,172,2,126
4,174,2,128
6,172,1,112
6,173,1,118
7,172,1,90
7,173,1,94
6,174,1,123
6,175,1,123
7,174,1,97
7,175,1,97
8,160,8,57
8,168,4,65
8,172,4,67
12,168,4,39
12,172,4,24
0,176,2,97
0,178,1,101
0,179,1,0
1,178,1,108
1,179,1,115
2,176,2,88
2,178,2,99
0,180,1,0
0,181,1,0
1,180,1,120
1,181,1,120
0,182,1,0
0,183,1,0
1,182,1,120
1,183,1,120
2,180,2,114
2,182,2,120
4,176,2,126
4,178,2,118
6,176,1,125
6,177,1,122
7,176,1,98
7,177,1,98
6,178,2,105
4,180,2,110
4,182,2,101
6,180,2,95
6,182,2,81
0,184,1,0
0,185,1,0
1,184,1,119
1,185,1,118
0,186,1,0
0,187,1,0
1,186,1,114
1,187,1,107
2,184,2,123
2,186,2,112
0,188,1,0
0,189,1,0
1,188,1,103
1,189,1,97
0,190,2,0
2,188,1,109
2,189,1,98
3,188,1,89
3,189,1,81
2,190,2,75
4,184,2,94
4,186,1,83
4,187,1,70
5,186,1,67
5,187,1,46
6,184,2,70
6,186,2,48
4,188,4,34
8,176,2,63
8,178,2,65
10,176,2,49
10,178,2,46
8,180,2,65
8,182,2,63
10,180,2,45
10,182,2,46
12,176,4,21
12,180,4,22
8,184,4,45
8,188,4,39
12,184,4,22
12,188,4,18
16,160,2,47
16,162,2,52
18,160,2,74
18,162,2,75
16,164,4,77
20,160,1,74
20,161,1,78
21,160,1,54
21,161,1,55
20,162,2,72
22,160,2,39
22,162,2,42
20,164,2,78
20,166,2,79
22,164,2,46
22,166,1,58
22,167,1,58
23,166,1,39
23,167,1,37
16,168,4,72
16,172,1,48
16,173,1,41
17,172,1,72
17,173,1,64
16,174,2,52
18,172,2,71
18,174,2,60
20,168,2,65
20,170,2,52
22,168,1,55
22,169,1,53
23,168,1,33
23,169,1,30
22,170,2,37
20,172,2,52
20,174,2,64
22,172,2,34
22,174,2,41
24,160,8,26
24,168,4,36
24,172,4,32
28,168,4,15
28,172,4,11
16,176,4,51
16,180,1,32
16,181,1,33
17,180,1,59
17,181,1,62
16,182,1,33
16,183,1,34
17,182,1,62
17,183,1,58
18,180,2,64
18,182,2,64
20,176,2,69
20,178,2,71
22,176,1,55
22,177,1,58
23,176,1,35
23,177,1,35
22,178,1,63
22,179,1,63
23,178,1,35
23,179,1,36
20,180,2,74
20,182,2,69
22,180,1,64
22,181,1,64
23,180,1,37
23,181,1,36
22,182,1,57
22,183,1,50
23,182,1,33
23,183,1,28
16,184,4,47
16,188,4,27
20,184,2,60
20,186,2,51
22,184,2,35
22,186,2,31
20,188,4,34
24,176,4,28
24,180,4,39
28,176,2,23
28,178,2,34
30,176,2,6
30,178,2,11
28,180,2,44
28,182,2,48
30,180,2,21
30,182,2,31
24,184,8,32
32,128,8,15
32,136,4,18
32,140,4,29
36,136,4,31
36,140,2,24
36,142,2,28
38,140,2,44
38,142,2,48
40,128,8,32
40,136,4,29
40,140,4,41
44,136,4,44
44,140,4,54
32,144,4,28
32,148,4,23
36,144,2,36
36,146,2,37
38,144,2,55
38,146,2,64
36,148,2,32
36,150,2,25
38,148,2,58
38,150,2,45
32,152,8,30
40,144,8,58
40,152,4,74
40,156,1,54
40,157,1,49
41,156,1,77
41,157,1,71
40,158,1,45
40,159,1,43
41,158,1,68
41,159,1,62
42,156,2,78
42,158,2,75
44,152,4,61
44,156,4,56
48,128,4,54
48,132,4,60
52,128,1,66
52,129,1,67
53,128,1,89
53,129,1,89
52,130,1,68
52,131,1,66
53,130,1,90
53,131,1,90
54,128,2,100
54,130,2,105
52,132,1,60
52,133,1,55
53,132,1,85
53,133,1,79
52,134,2,60
54,132,2,106
54,134,2,99
48,136,2,55
48,138,2,54
50,136,2,77
50,138,2,76
48,140,4,58
52,136,2,59
52,138,2,63
54,136,2,82
54,138,2,61
52,140,4,53
56,128,4,109
56,132,4,98
60,128,1,86
60,129,1,89
61,128,1,68
61,129,1,64
60,130,1,89
60,131,1,85
61,130,1,63
61,131,1,59
62,128,2,36
62,130,2,26
60,132,1,83
60,133,1,78
61,132,1,55
61,133,1,49
60,134,1,70
60,135,1,63
61,134,1,43
61,135,1,38
62,132,2,21
62,134,2,18
56,136,2,82
56,138,2,60
58,136,2,75
58,138,2,55
56,140,4,28
60,136,1,59
60,137,1,54
61,136,1,35
61,137,1,33
60,138,2,40
62,136,2,14
62,138,2,13
60,140,4,24
48,144,8,51
48,152,4,73
48,156,2,74
48,158,2,74
50,156,2,93
50,158,2,103
52,152,4,71
52,156,2,91
52,158,2,100
54,156,2,74
54,158,2,76
56,144,4,25
56,148,2,45
56,150,2,57
58,148,2,27
58,150,2,43
60,144,4,19
60,148,4,14
56,152,4,63
56,156,4,68
60,152,4,28
60,156,4,41
32,160,4,30
32,164,4,22
36,160,2,50
36,162,1,37
36,163,1,32
37,162,1,57
37,163,1,51
38,160,2,52
38,162,2,63
36,164,1,27
36,165,1,23
37,164,1,48
37,165,1,43
36,166,2,25
38,164,2,64
38,166,2,58
32,168,4,10
32,172,4,6
36,168,2,17
36,170,2,11
38,168,2,48
38,170,2,34
36,172,4,10
40,160,2,47
40,162,2,46
42,160,2,68
42,162,2,60
40,164,4,56
44,160,4,84
44,164,2,89
44,166,2,91
46,164,2,107
46,166,2,112
40,168,4,56
40,172,4,29
44,168,2,87
44,170,2,75
46,168,2,109
46,170,2,96
44,172,2,53
44,174,2,33
46,172,2,70
46,174,2,44
32,176,16,10
48,160,2,83
48,162,2,96
50,160,2,111
50,162,2,113
48,164,4,107
52,160,2,104
52,162,2,105
54,160,2,78
54,162,2,71
52,164,2,99
52,166,2,89
54,164,2,67
54,166,2,58
48,168,2,107
48,170,2,92
50,168,2,95
50,170,2,73
48,172,2,66
48,174,2,42
50,172,2,48
50,174,2,34
52,168,2,72
52,170,2,47
54,168,2,48
54,170,2,32
52,172,4,22
56,160,8,55
56,168,4,39
56,172,4,19
60,168,4,35
60,172,4,18
48,176,16,6
0,192,2,0
0,194,2,0
2,192,2,71
2,194,2,71
0,196,2,0
0,198,2,0
2,196,2,74
2,198,2,80
4,192,1,50
4,193,1,53
5,192,1,31
5,193,1,31
4,194,1,55
4,195,1,58
5,194,1,32
5,195,1,31
6,192,2,22
6,194,2,25
4,196,1,59
4,197,1,62
5,196,1,29
5,197,1,33
4,198,1,63
4,199,1,64
5,198,1,35
5,199,1,38
6,196,2,30
6,198,2,37
0,200,2,0
0,202,2,0
2,200,2,80
2,202,2,76
0,204,2,0
0,206,2,0
2,204,1,0
2,205,1,0
3,204,1,75
3,205,1,72
2,206,1,0
2,207,1,0
3,206,1,70
3,207,1,66
4,200,1,63
4,201,1,62
5,200,1,36
5,201,1,34
4,202,1,60
4,203,1,67
5,202,1,36
5,203,1,42
6,200,2,35
6,202,2,32
4,204,1,74
4,205,1,78
5,204,1,50
5,205,1,59
4,206,2,76
6,204,2,32
6,206,2,35
8,192,4,44
8,196,4,45
12,192,4,24
12,196,4,32
8,200,8,42
0,208,2,0
0,210,2,0
2,208,1,0
2,209,1,0
3,208,1,64
3,209,1,66
2,210,1,0
2,211,1,0
3,210,1,66
3,211,1,63
0,212,2,0
0,214,2,0
2,212,1,0
2,213,1,0
3,212,1,62
3,213,1,59
2,214,1,0
2,215,1,0
3,214,1,53
3,215,1,46
4,208,2,82
4,210,2,83
6,208,2,42
6,210,2,51
4,212,2,74
4,214,2,63
6,212,1,63
6,213,1,64
7,212,1,44
7,213,1,43
6,214,1,62
6,215,1,59
7,214,1,41
7,215,1,39
0,216,2,0
0,218,2,0
2,216,1,0
2,217,1,0
3,216,1,43
3,217,1,40
2,218,1,0
2,219,1,0
3,218,1,36
3,219,1,38
0,220,2,0
0,222,2,0
2,220,1,0
2,221,1,0
3,220,1,43
3,221,1,49
2,222,2,0
4,216,4,46
4,220,4,48
8,208,4,51
8,212,4,44
12,208,4,35
12,212,4,28
8,216,8,34
16,192,16,17
16,208,16,9
0,224,4,0
0,228,4,0
4,224,4,49
4,228,4,42
0,232,4,0
0,236,4,0
4,232,4,38
4,236,4,40
8,224,8,28
8,232,2,44
8,234,2,39
10,232,2,23
10,234,2,16
8,236,2,34
8,238,2,42
10,236,2,12
10,238,2,13
12,232,4,14
12,236,4,9
0,240,4,0
0,244,4,0
4,240,4,55
4,244,4,80
0,248,4,0
0,252,4,0
4,248,4,91
4,252,2,88
4,254,2,77
6,252,1,89
6,253,1,81
7,252,1,70
7,253,1,59
6,254,1,74
6,255,1,66
7,254,1,50
7,255,1,42
8,240,2,59
8,242,2,67
10,240,2,21
10,242,2,29
8,244,2,67
8,246,2,62
10,244,2,36
10,246,2,43
12,240,4,13
12,244,4,24
8,248,4,49
